[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 5, Distance: 703, Angle: -3313, SNR: 0, Speed: 72
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:01
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 3, Distance: 42, Angle: -2915, SNR: 0, Speed: -73
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 4, Distance: 68, Angle: -2267, SNR: 0, Speed: -97
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 4, Distance: 81, Angle: -601, SNR: 0, Speed: -73
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 129, Angle: -4117, SNR: 0, Speed: 78
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 3, Distance: 174, Angle: -1062, SNR: 0, Speed: -105
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 3, Distance: 295, Angle: -3759, SNR: 0, Speed: 71
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 452, Angle: -3348, SNR: 0, Speed: 94
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 4, Distance: 460, Angle: -1197, SNR: 0, Speed: -97
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 4, Distance: 533, Angle: -1169, SNR: 0, Speed: -77
[2017-03-28 15:40:01.296] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 602, Angle: -1116, SNR: 0, Speed: -85
